EventIDTimeLatitudeLongitudeDepth/kmMagTypeMagnitudeEventLocationName
20120517.2022001,2012-05-17T20:22:21,45.2458,-66.7806,1.0,MN,1.9,29 km NE from Saint Andrews NB/29 km N-E de Saint Andrews NB
20120512.1908001,2012-05-12T19:08:22,46.0967,-65.9472,5.0,MN,1.5,50 km NE from Oromocto NB/50 km N-E de Oromocto NB
20120430.0217001,2012-04-30T02:17:25,44.8356,-64.9405,18.0,MN,1.5,16 km SE from Middleton NS/16 km S-E de Middleton NS
20120430.0048001,2012-04-30T00:48:32,44.8111,-64.9803,18.0,MN,1.8,20 km SE from Middleton NS/20 km S-E de Middleton NS
20120420.0309001,2012-04-20T03:09:01,47.2776,-66.296,5.0,MN,1.5,64 km SW from Bathurst NB/64 km S-O de Bathurst NB
20120416.2119001,2012-04-16T21:19:27,47.2777,-66.3196,5.0,MN,2.3,65 km SW from Bathurst NB/65 km S-O de Bathurst NB
20120330.2329002,2012-03-30T23:29:59,47.3545,-66.094,5.0,MN,3.4,46 km SW from Bathurst NB. Felt.. Felt/46 km S-O de Bathurst NB. Ressenti.. Ressenti
20120323.2315001,2012-03-23T23:15:12,47.0297,-66.5525,5.0,MN,2.1,65 km E from Plaster Rock NB/65 km E de Plaster Rock NB
20120322.1157001,2012-03-22T11:57:45,46.5887,-66.3334,5.0,MN,2.6,70 km W  from Rogersville NB/70 km O de Rogersville NB
20120321.1642001,2012-03-21T16:42:01,46.1081,-65.9609,5.0,MN,2.4,50 km NE from Oromocto NB/50 km N-E de Oromocto NB
20120321.1641001,2012-03-21T16:41:32,46.0841,-65.9421,5.0,MN,1.8,50 km NE from Oromocto NB/50 km N-E de Oromocto NB
20120315.0352001,2012-03-15T03:52:16,47.0254,-66.5179,5.0,MN,2.2,68 km E from Plaster Rock NB/68 km E de Plaster Rock NB
20120218.2328001,2012-02-18T23:28:47,46.414,-66.4655,5.0,MN,1.6,54 km N from Fredericton NB/54 km N de Fredericton NB
